e1 m-,e1 m+,e1 n-,e1 n+,e1 h-,e1 h+,e2 m-,e2 m+,e2 n-,e2 n+,e2 h-,e2 h+,e3 m-,e3 m+,e3 n-,e3 n+,e3 h-,e3 h+,e4 m-,e4 m+,e4 n-,e4 n+,e4 h-,e4 h+,e5 m-,e5 m+,e5 n-,e5 n+,e5 h-,e5 h+,e6 m-,e6 m+,e6 n-,e6 n+,e6 h-,e6 h+
0.63,0.74,0.00,0.17,0.09,0.37,0.12,0.69,0.02,0.86,-0.5499999999999999,0.86,0.11,0.22,0.23,0.69,0.09000000000000008,0.66,0.23,0.24,0.43,0.50,0.26,0.34,0.76,0.81,0.01,0.05,0.13999999999999996,0.22999999999999998,0.38,0.71,0.13,0.37,-0.07999999999999996,0.49
0.67,0.74,0.20,0.31,-0.04999999999999999,0.12999999999999995,0.85,0.98,0.02,0.10,-0.07999999999999999,0.13000000000000003,0.36,0.58,0.14,0.31,0.11000000000000004,0.5,0.81,0.92,0.02,0.05,0.029999999999999957,0.16999999999999996,0.96,0.97,0.03,0.03,2.7755575615628914e-17,0.010000000000000037,0.86,0.86,0.04,0.11,0.030000000000000013,0.1
0.04,0.67,0.17,0.49,-0.16000000000000003,0.7899999999999999,0.24,0.97,0.02,0.31,-0.27999999999999997,0.74,0.70,0.76,0.15,0.16,0.07999999999999999,0.15000000000000005,0.52,0.92,0.05,0.38,-0.30000000000000004,0.43,0.46,0.65,0.34,0.53,-0.18000000000000005,0.2,0.76,0.78,0.02,0.22,-2.7755575615628914e-17,0.22
0.20,0.69,0.17,0.74,-0.42999999999999994,0.63,0.76,0.79,0.16,0.18,0.02999999999999997,0.07999999999999999,0.84,0.90,0.07,0.09,0.009999999999999981,0.09000000000000002,1.00,1.00,0.00,0.00,0.0,0.0,0.31,0.49,0.16,0.17,0.33999999999999997,0.5299999999999999,0.11,0.83,0.08,0.13,0.040000000000000036,0.81
0.74,0.77,0.10,0.13,0.09999999999999998,0.16,0.58,0.64,0.13,0.25,0.10999999999999999,0.29000000000000004,0.60,0.74,0.13,0.38,-0.12,0.27,0.81,0.99,0.01,0.05,-0.039999999999999994,0.17999999999999994,0.01,0.78,0.20,0.21,0.009999999999999981,0.79,0.37,0.59,0.36,0.46,-0.04999999999999999,0.27
0.39,0.48,0.50,0.56,-0.040000000000000036,0.10999999999999999,0.62,0.62,0.29,0.31,0.07,0.09000000000000002,0.30,0.98,0.00,0.25,-0.22999999999999998,0.7,0.16,0.90,0.01,0.04,0.05999999999999998,0.83,0.12,0.49,0.34,0.71,-0.19999999999999996,0.54,0.25,0.33,0.02,0.75,-0.08000000000000007,0.73
0.44,0.83,0.06,0.17,2.7755575615628914e-17,0.5,0.04,0.84,0.14,0.25,-0.08999999999999997,0.82,0.69,0.90,0.03,0.15,-0.05000000000000002,0.28,0.94,0.98,0.01,0.02,1.734723475976807e-17,0.05000000000000005,0.35,0.60,0.37,0.55,-0.15000000000000002,0.28,0.44,0.66,0.31,0.46,-0.12000000000000005,0.25000000000000006
0.40,0.85,0.10,0.44,-0.29,0.5,0.70,0.88,0.00,0.14,-0.020000000000000018,0.30000000000000004,0.91,0.95,0.04,0.07,-0.019999999999999962,0.04999999999999997,0.01,0.25,0.45,0.56,0.18999999999999995,0.54,0.14,0.95,0.04,0.14,-0.08999999999999997,0.82,0.01,0.22,0.29,0.52,0.26,0.7
0.64,0.65,0.15,0.27,0.07999999999999996,0.21,0.84,0.91,0.01,0.09,-2.7755575615628914e-17,0.15000000000000002,0.00,0.60,0.19,0.57,-0.16999999999999993,0.81,0.74,0.80,0.13,0.19,0.009999999999999953,0.13,0.93,0.99,0.01,0.07,-0.06,0.05999999999999995,0.45,0.73,0.05,0.29,-0.019999999999999962,0.5
0.88,0.98,0.02,0.10,-0.07999999999999999,0.09999999999999999,0.61,0.90,0.02,0.17,-0.07000000000000003,0.37,0.89,0.90,0.02,0.06,0.03999999999999998,0.08999999999999998,0.88,0.97,0.01,0.03,2.7755575615628914e-17,0.11,0.85,0.90,0.02,0.02,0.07999999999999997,0.13000000000000003,0.84,0.95,0.03,0.04,0.010000000000000044,0.13000000000000003
0.80,0.89,0.08,0.18,-0.07,0.11999999999999995,0.71,0.75,0.19,0.28,-0.030000000000000027,0.10000000000000003,0.84,0.87,0.03,0.14,-0.010000000000000009,0.13000000000000003,0.54,0.65,0.33,0.40,-0.050000000000000044,0.12999999999999995,0.02,0.95,0.03,0.50,-0.44999999999999996,0.95,0.61,0.78,0.03,0.25,-0.030000000000000027,0.36
0.22,0.66,0.13,0.43,-0.09000000000000002,0.65,0.87,0.89,0.06,0.08,0.029999999999999985,0.07,0.23,0.90,0.08,0.15,-0.05000000000000002,0.6900000000000001,0.88,0.96,0.01,0.11,-0.06999999999999997,0.11,0.89,0.93,0.00,0.09,-0.020000000000000046,0.10999999999999999,0.59,0.59,0.41,0.41,5.551115123125783e-17,5.551115123125783e-17
0.47,0.97,0.02,0.48,-0.44999999999999996,0.51,0.34,0.68,0.27,0.35,-0.030000000000000027,0.3899999999999999,0.43,0.49,0.32,0.38,0.13,0.25000000000000006,0.20,0.55,0.03,0.31,0.13999999999999996,0.77,0.12,0.59,0.16,0.68,-0.27,0.72,0.70,0.96,0.03,0.05,-0.009999999999999967,0.27
0.39,0.63,0.36,0.58,-0.20999999999999996,0.25,0.98,0.98,0.01,0.02,1.734723475976807e-17,0.010000000000000018,0.11,0.91,0.08,0.71,-0.62,0.81,0.31,0.52,0.45,0.60,-0.12,0.23999999999999994,0.01,0.71,0.26,0.78,-0.49,0.73,0.54,0.94,0.03,0.17,-0.10999999999999996,0.42999999999999994
0.67,0.82,0.01,0.11,0.07000000000000005,0.31999999999999995,0.01,0.52,0.45,0.84,-0.36,0.54,0.04,0.07,0.01,0.51,0.41999999999999993,0.95,0.69,0.96,0.01,0.23,-0.18999999999999997,0.30000000000000004,0.78,0.98,0.01,0.21,-0.18999999999999997,0.20999999999999996,0.46,0.92,0.03,0.20,-0.12000000000000005,0.51
0.77,0.81,0.14,0.22,-0.030000000000000054,0.08999999999999997,0.64,0.66,0.10,0.20,0.13999999999999996,0.26,0.90,0.93,0.02,0.02,0.04999999999999995,0.07999999999999997,0.55,0.90,0.07,0.08,0.019999999999999976,0.37999999999999995,0.76,0.86,0.08,0.13,0.010000000000000009,0.15999999999999998,0.46,0.94,0.04,0.35,-0.2899999999999999,0.5
0.38,0.61,0.33,0.42,-0.02999999999999997,0.29,0.87,0.96,0.00,0.09,-0.04999999999999996,0.13,0.03,0.60,0.33,0.51,-0.10999999999999999,0.6399999999999999,0.27,0.34,0.40,0.55,0.10999999999999988,0.32999999999999996,0.16,0.93,0.02,0.44,-0.37000000000000005,0.82,0.43,0.84,0.01,0.51,-0.35,0.56
0.19,0.88,0.11,0.11,0.009999999999999995,0.7000000000000001,0.02,0.85,0.13,0.59,-0.43999999999999995,0.85,0.56,0.82,0.07,0.42,-0.23999999999999994,0.36999999999999994,0.31,0.37,0.47,0.61,0.020000000000000018,0.21999999999999997,0.55,0.79,0.00,0.22,-0.010000000000000037,0.44999999999999996,0.98,0.98,0.01,0.01,0.010000000000000018,0.010000000000000018
0.53,0.90,0.04,0.35,-0.25,0.43,0.44,0.46,0.37,0.39,0.15000000000000002,0.19000000000000006,0.39,0.97,0.01,0.50,-0.47,0.6,0.56,0.89,0.09,0.10,0.009999999999999981,0.35,0.32,0.79,0.17,0.18,0.02999999999999997,0.5099999999999999,0.89,0.91,0.05,0.09,-2.7755575615628914e-17,0.059999999999999984
0.06,0.47,0.18,0.53,0.0,0.76,0.31,0.86,0.14,0.64,-0.5,0.5499999999999999,0.61,0.70,0.15,0.18,0.12000000000000005,0.24000000000000002,0.09,0.85,0.14,0.36,-0.20999999999999996,0.77,0.23,0.89,0.10,0.41,-0.3,0.67,0.38,0.95,0.01,0.57,-0.5199999999999999,0.61
0.22,0.50,0.39,0.40,0.09999999999999998,0.39,0.39,0.95,0.05,0.16,-0.10999999999999996,0.5599999999999999,0.74,0.89,0.09,0.24,-0.13,0.17,0.43,0.84,0.03,0.16,2.7755575615628914e-17,0.54,0.27,0.48,0.29,0.47,0.050000000000000044,0.44,0.56,0.58,0.03,0.15,0.27,0.4099999999999999
0.85,0.90,0.08,0.10,-2.7755575615628914e-17,0.07000000000000002,0.06,0.71,0.28,0.84,-0.5499999999999999,0.6599999999999999,0.51,0.85,0.05,0.18,-0.02999999999999997,0.44,0.95,0.99,0.00,0.04,-0.029999999999999992,0.050000000000000044,0.34,0.54,0.27,0.28,0.17999999999999994,0.3899999999999999,0.44,0.52,0.15,0.20,0.27999999999999997,0.41000000000000003
0.74,0.76,0.02,0.04,0.19999999999999998,0.24000000000000002,0.27,0.99,0.01,0.61,-0.6,0.72,0.47,0.92,0.02,0.43,-0.35000000000000003,0.51,0.87,0.90,0.02,0.10,-2.7755575615628914e-17,0.11,0.04,0.38,0.09,0.47,0.15000000000000002,0.87,0.46,0.81,0.06,0.44,-0.25000000000000006,0.48000000000000004
0.84,0.84,0.12,0.14,0.020000000000000018,0.040000000000000036,0.61,0.73,0.03,0.24,0.030000000000000027,0.36,0.29,0.45,0.52,0.68,-0.13,0.18999999999999995,0.16,0.94,0.05,0.55,-0.49,0.7899999999999999,0.00,0.69,0.19,0.72,-0.4099999999999999,0.81,0.29,0.86,0.14,0.24,-0.09999999999999998,0.57
0.66,0.71,0.28,0.33,-0.03999999999999998,0.05999999999999994,0.74,0.84,0.14,0.22,-0.05999999999999997,0.12,0.90,0.91,0.01,0.09,-2.7755575615628914e-17,0.08999999999999998,0.47,0.52,0.02,0.39,0.08999999999999997,0.51,0.50,0.88,0.07,0.37,-0.25,0.43,0.13,0.30,0.36,0.74,-0.040000000000000036,0.51
0.92,0.98,0.00,0.06,-0.03999999999999998,0.07999999999999996,0.72,0.79,0.04,0.06,0.14999999999999997,0.24000000000000002,0.42,0.90,0.02,0.09,0.009999999999999981,0.56,0.33,0.47,0.49,0.57,-0.039999999999999925,0.17999999999999994,0.84,1.00,0.00,0.13,-0.13,0.16000000000000003,0.91,0.98,0.01,0.01,0.010000000000000018,0.07999999999999997
0.64,0.68,0.32,0.33,-0.010000000000000064,0.03999999999999998,0.51,0.55,0.05,0.22,0.22999999999999995,0.44,0.88,0.97,0.01,0.04,-0.009999999999999974,0.11,0.75,0.83,0.16,0.21,-0.03999999999999995,0.09,0.66,0.77,0.07,0.18,0.04999999999999999,0.26999999999999996,0.71,0.83,0.09,0.29,-0.11999999999999994,0.20000000000000004
0.12,0.29,0.08,0.59,0.12,0.8,0.06,0.08,0.31,0.92,0.0,0.6299999999999999,0.40,0.43,0.42,0.45,0.12000000000000005,0.18,0.44,0.85,0.05,0.20,-0.04999999999999999,0.51,0.24,0.72,0.12,0.25,0.030000000000000027,0.64,0.47,0.67,0.32,0.43,-0.10000000000000003,0.21000000000000002
0.08,0.38,0.43,0.60,0.020000000000000018,0.49000000000000005,0.72,0.79,0.18,0.22,-0.010000000000000037,0.10000000000000003,0.75,0.90,0.01,0.24,-0.14,0.24,0.62,0.86,0.01,0.26,-0.12,0.37,0.72,0.73,0.17,0.19,0.08000000000000002,0.11000000000000001,0.03,0.06,0.12,0.51,0.42999999999999994,0.85
0.74,0.92,0.01,0.07,0.009999999999999953,0.25,0.52,1.00,0.00,0.13,-0.13,0.48,0.85,0.91,0.05,0.14,-0.050000000000000044,0.10000000000000002,0.91,0.97,0.02,0.04,-0.009999999999999974,0.06999999999999997,0.55,0.86,0.10,0.43,-0.29,0.35,0.25,0.87,0.02,0.45,-0.32,0.73
0.29,0.37,0.41,0.43,0.2,0.3,0.07,0.23,0.08,0.21,0.56,0.85,0.66,0.99,0.01,0.03,-0.01999999999999999,0.32999999999999996,0.26,0.84,0.11,0.62,-0.45999999999999996,0.63,0.16,0.97,0.02,0.65,-0.62,0.82,0.65,0.97,0.01,0.35,-0.31999999999999995,0.33999999999999997
0.35,0.54,0.24,0.40,0.05999999999999994,0.41000000000000003,0.20,0.96,0.03,0.15,-0.10999999999999996,0.77,0.67,0.90,0.07,0.25,-0.15000000000000002,0.25999999999999995,0.19,0.51,0.05,0.33,0.15999999999999998,0.76,0.69,0.99,0.00,0.13,-0.12,0.31000000000000005,0.47,0.48,0.44,0.53,-0.010000000000000009,0.09000000000000002
0.36,0.50,0.48,0.55,-0.050000000000000044,0.16000000000000003,0.33,0.51,0.32,0.60,-0.10999999999999999,0.3499999999999999,0.85,0.96,0.01,0.03,0.010000000000000037,0.14,0.72,0.84,0.04,0.14,0.020000000000000018,0.24000000000000002,0.77,0.81,0.03,0.05,0.13999999999999996,0.19999999999999998,0.48,0.55,0.18,0.21,0.23999999999999996,0.34
0.57,0.72,0.20,0.26,0.020000000000000018,0.23000000000000004,0.80,0.94,0.06,0.16,-0.09999999999999995,0.13999999999999996,0.68,0.69,0.20,0.30,0.010000000000000064,0.11999999999999994,0.35,0.97,0.02,0.10,-0.06999999999999998,0.63,0.35,0.51,0.38,0.39,0.09999999999999998,0.27,0.83,0.95,0.02,0.16,-0.10999999999999996,0.15000000000000005
0.32,0.86,0.02,0.53,-0.39,0.6599999999999999,0.59,0.77,0.15,0.23,-2.7755575615628914e-17,0.26,0.83,0.89,0.10,0.15,-0.04000000000000001,0.07000000000000003,0.50,0.74,0.19,0.32,-0.06,0.31,0.26,0.82,0.06,0.19,-0.009999999999999953,0.6799999999999999,0.23,0.96,0.03,0.25,-0.20999999999999996,0.74
0.09,0.74,0.26,0.90,-0.64,0.65,0.59,0.67,0.07,0.24,0.08999999999999997,0.34,0.11,0.46,0.05,0.44,0.10000000000000003,0.84,0.22,0.55,0.17,0.47,-0.020000000000000018,0.61,0.11,0.57,0.01,0.25,0.18000000000000005,0.88,0.59,0.91,0.00,0.07,0.019999999999999962,0.41000000000000003
0.68,0.83,0.05,0.29,-0.11999999999999994,0.26999999999999996,0.34,0.36,0.38,0.60,0.040000000000000036,0.2799999999999999,0.80,0.94,0.03,0.13,-0.06999999999999995,0.16999999999999996,0.55,0.62,0.19,0.32,0.06,0.25999999999999995,0.78,0.89,0.07,0.21,-0.1,0.14999999999999997,0.76,0.97,0.00,0.17,-0.13999999999999999,0.24
0.55,0.73,0.27,0.38,-0.10999999999999999,0.17999999999999994,0.28,1.00,0.00,0.36,-0.36,0.72,0.37,0.40,0.26,0.48,0.12,0.37,0.91,0.97,0.02,0.03,2.7755575615628914e-17,0.06999999999999997,0.26,0.57,0.17,0.63,-0.19999999999999996,0.57,0.97,0.97,0.01,0.01,0.020000000000000025,0.020000000000000025
0.99,0.99,0.00,0.01,8.673617379884035e-18,0.010000000000000009,0.03,0.51,0.34,0.91,-0.42000000000000004,0.6299999999999999,0.36,0.57,0.34,0.55,-0.12,0.3,0.28,0.77,0.13,0.58,-0.35,0.59,0.28,0.87,0.05,0.19,-0.06,0.6699999999999999,0.13,1.00,0.00,0.25,-0.25,0.87
0.16,0.36,0.41,0.54,0.09999999999999998,0.43,0.47,0.64,0.04,0.46,-0.10000000000000003,0.49000000000000005,0.53,0.97,0.02,0.05,-0.019999999999999976,0.44999999999999996,0.03,0.69,0.12,0.16,0.15000000000000005,0.85,0.03,0.91,0.00,0.23,-0.14000000000000004,0.97,0.33,0.39,0.02,0.36,0.25,0.6499999999999999
0.49,0.65,0.09,0.37,-0.020000000000000018,0.42000000000000004,0.29,0.84,0.15,0.50,-0.33999999999999997,0.5599999999999999,0.31,0.87,0.02,0.59,-0.45999999999999996,0.6699999999999999,0.18,0.83,0.16,0.60,-0.42999999999999994,0.66,0.19,0.65,0.25,0.52,-0.17000000000000004,0.56,0.37,0.57,0.19,0.20,0.23000000000000004,0.44
0.75,0.75,0.21,0.24,0.010000000000000009,0.04000000000000001,0.35,0.39,0.49,0.54,0.06999999999999995,0.16000000000000003,0.37,1.00,0.00,0.60,-0.6,0.63,0.55,0.92,0.04,0.04,0.03999999999999996,0.41,0.26,0.76,0.05,0.29,-0.04999999999999999,0.69,0.86,0.89,0.09,0.13,-0.020000000000000018,0.05000000000000002
0.43,0.72,0.23,0.35,-0.06999999999999995,0.3400000000000001,0.54,0.93,0.00,0.15,-0.08000000000000004,0.45999999999999996,0.09,0.54,0.38,0.41,0.04999999999999999,0.53,0.48,0.49,0.19,0.42,0.09000000000000002,0.33,0.12,0.49,0.44,0.56,-0.050000000000000044,0.44,0.46,0.71,0.18,0.50,-0.20999999999999996,0.36000000000000004
0.94,0.98,0.02,0.06,-0.03999999999999998,0.04000000000000005,0.50,0.80,0.08,0.36,-0.16000000000000003,0.42,0.05,0.61,0.12,0.23,0.16,0.83,0.37,0.91,0.01,0.26,-0.17000000000000004,0.62,0.54,0.57,0.41,0.44,-0.009999999999999953,0.04999999999999999,0.48,0.71,0.11,0.36,-0.06999999999999995,0.41000000000000003
0.51,0.63,0.09,0.47,-0.09999999999999998,0.4,0.73,0.90,0.09,0.12,-0.020000000000000018,0.18000000000000002,0.88,0.95,0.04,0.08,-0.029999999999999957,0.07999999999999999,0.48,0.85,0.03,0.16,-0.009999999999999981,0.49,0.50,0.61,0.34,0.37,0.020000000000000018,0.15999999999999998,0.71,0.81,0.10,0.26,-0.07000000000000006,0.19000000000000003
0.02,0.73,0.05,0.57,-0.29999999999999993,0.9299999999999999,0.43,0.63,0.33,0.44,-0.07,0.24000000000000005,0.52,0.58,0.37,0.41,0.010000000000000064,0.10999999999999999,0.64,0.95,0.00,0.21,-0.15999999999999995,0.36,0.02,0.05,0.93,0.97,-0.020000000000000018,0.04999999999999993,0.32,0.62,0.26,0.50,-0.12,0.41999999999999993
